image,x,y,r,g,b
sr,1,1,55,126,63
sr,1,2,55,126,63
sr,1,3,255,255,255
sr,1,4,180,10,45
sr,1,5,180,10,45
sr,1,6,180,10,45
sr,1,7,180,10,45
sr,1,8,255,255,255
sr,1,9,55,126,63
sr,1,10,55,126,63
sr,2,1,55,126,63
sr,2,2,55,126,63
sr,2,3,255,255,255
sr,2,4,180,10,45
sr,2,5,180,10,45
sr,2,6,180,10,45
sr,2,7,180,10,45
sr,2,8,255,255,255
sr,2,9,55,126,63
sr,2,10,55,126,63
sr,3,1,55,126,63
sr,3,2,55,126,63
sr,3,3,255,255,255
sr,3,4,180,10,45
sr,3,5,180,10,45
sr,3,6,180,10,45
sr,3,7,180,10,45
sr,3,8,255,255,255
sr,3,9,55,126,63
sr,3,10,55,126,63
sr,4,1,55,126,63
sr,4,2,55,126,63
sr,4,3,255,255,255
sr,4,4,180,10,45
sr,4,5,180,10,45
sr,4,6,180,10,45
sr,4,7,180,10,45
sr,4,8,255,255,255
sr,4,9,55,126,63
sr,4,10,55,126,63
sr,5,1,55,126,63
sr,5,2,55,126,63
sr,5,3,255,255,255
sr,5,4,180,10,45
sr,5,5,180,10,45
sr,5,6,236,200,29
sr,5,7,187,33,42
sr,5,8,255,255,255
sr,5,9,55,126,63
sr,5,10,55,126,63
sr,6,1,55,126,63
sr,6,2,55,126,63
sr,6,3,255,255,255
sr,6,4,180,10,45
sr,6,5,180,10,45
sr,6,6,187,33,42
sr,6,7,220,146,32
sr,6,8,255,255,255
sr,6,9,55,126,63
sr,6,10,55,126,63
sr,7,1,55,126,63
sr,7,2,55,126,63
sr,7,3,255,255,255
sr,7,4,180,10,45
sr,7,5,180,10,45
sr,7,6,180,10,45
sr,7,7,180,10,45
sr,7,8,255,255,255
sr,7,9,55,126,63
sr,7,10,55,126,63
sr,8,1,55,126,63
sr,8,2,55,126,63
sr,8,3,255,255,255
sr,8,4,180,10,45
sr,8,5,180,10,45
sr,8,6,180,10,45
sr,8,7,180,10,45
sr,8,8,255,255,255
sr,8,9,55,126,63
sr,8,10,55,126,63
sr,9,1,55,126,63
sr,9,2,55,126,63
sr,9,3,255,255,255
sr,9,4,180,10,45
sr,9,5,180,10,45
sr,9,6,180,10,45
sr,9,7,180,10,45
sr,9,8,255,255,255
sr,9,9,55,126,63
sr,9,10,55,126,63
sr,10,1,55,126,63
sr,10,2,55,126,63
sr,10,3,255,255,255
sr,10,4,180,10,45
sr,10,5,180,10,45
sr,10,6,180,10,45
sr,10,7,180,10,45
sr,10,8,255,255,255
sr,10,9,55,126,63
sr,10,10,55,126,63
gl,1,1,255,255,255
gl,1,2,255,255,255
gl,1,3,255,255,255
gl,1,4,255,255,255
gl,1,5,255,255,255
gl,1,6,200,16,46
gl,1,7,200,16,46
gl,1,8,200,16,46
gl,1,9,200,16,46
gl,1,10,200,16,46
gl,2,1,255,255,255
gl,2,2,255,255,255
gl,2,3,255,255,255
gl,2,4,255,255,255
gl,2,5,255,255,255
gl,2,6,200,16,46
gl,2,7,200,16,46
gl,2,8,200,16,46
gl,2,9,200,16,46
gl,2,10,200,16,46
gl,3,1,255,255,255
gl,3,2,255,255,255
gl,3,3,200,16,46
gl,3,4,200,16,46
gl,3,5,200,16,46
gl,3,6,255,255,255
gl,3,7,255,255,255
gl,3,8,255,255,255
gl,3,9,200,16,46
gl,3,10,200,16,46
gl,4,1,255,255,255
gl,4,2,255,255,255
gl,4,3,200,16,46
gl,4,4,200,16,46
gl,4,5,200,16,46
gl,4,6,255,255,255
gl,4,7,255,255,255
gl,4,8,255,255,255
gl,4,9,200,16,46
gl,4,10,200,16,46
gl,5,1,255,255,255
gl,5,2,255,255,255
gl,5,3,200,16,46
gl,5,4,200,16,46
gl,5,5,200,16,46
gl,5,6,255,255,255
gl,5,7,255,255,255
gl,5,8,255,255,255
gl,5,9,200,16,46
gl,5,10,200,16,46
gl,6,1,255,255,255
gl,6,2,255,255,255
gl,6,3,255,255,255
gl,6,4,200,16,46
gl,6,5,200,16,46
gl,6,6,255,255,255
gl,6,7,255,255,255
gl,6,8,200,16,46
gl,6,9,200,16,46
gl,6,10,200,16,46
gl,7,1,255,255,255
gl,7,2,255,255,255
gl,7,3,255,255,255
gl,7,4,255,255,255
gl,7,5,255,255,255
gl,7,6,200,16,46
gl,7,7,200,16,46
gl,7,8,200,16,46
gl,7,9,200,16,46
gl,7,10,200,16,46
gl,8,1,255,255,255
gl,8,2,255,255,255
gl,8,3,255,255,255
gl,8,4,255,255,255
gl,8,5,255,255,255
gl,8,6,200,16,46
gl,8,7,200,16,46
gl,8,8,200,16,46
gl,8,9,200,16,46
gl,8,10,200,16,46
gl,9,1,255,255,255
gl,9,2,255,255,255
gl,9,3,255,255,255
gl,9,4,255,255,255
gl,9,5,255,255,255
gl,9,6,200,16,46
gl,9,7,200,16,46
gl,9,8,200,16,46
gl,9,9,200,16,46
gl,9,10,200,16,46
gl,10,1,255,255,255
gl,10,2,255,255,255
gl,10,3,255,255,255
gl,10,4,255,255,255
gl,10,5,255,255,255
gl,10,6,200,16,46
gl,10,7,200,16,46
gl,10,8,200,16,46
gl,10,9,200,16,46
gl,10,10,200,16,46
gb-nir,1,1,255,255,255
gb-nir,1,2,255,255,255
gb-nir,1,3,255,255,255
gb-nir,1,4,255,255,255
gb-nir,1,5,204,0,0
gb-nir,1,6,204,0,0
gb-nir,1,7,255,255,255
gb-nir,1,8,255,255,255
gb-nir,1,9,255,255,255
gb-nir,1,10,255,255,255
gb-nir,2,1,255,255,255
gb-nir,2,2,255,255,255
gb-nir,2,3,255,255,255
gb-nir,2,4,255,255,255
gb-nir,2,5,204,0,0
gb-nir,2,6,204,0,0
gb-nir,2,7,255,255,255
gb-nir,2,8,255,255,255
gb-nir,2,9,255,255,255
gb-nir,2,10,255,255,255
gb-nir,3,1,255,255,255
gb-nir,3,2,255,255,255
gb-nir,3,3,255,255,255
gb-nir,3,4,255,255,255
gb-nir,3,5,204,0,0
gb-nir,3,6,204,0,0
gb-nir,3,7,255,255,255
gb-nir,3,8,255,255,255
gb-nir,3,9,255,255,255
gb-nir,3,10,255,255,255
gb-nir,4,1,255,255,255
gb-nir,4,2,255,255,255
gb-nir,4,3,255,255,255
gb-nir,4,4,255,255,255
gb-nir,4,5,204,0,0
gb-nir,4,6,204,0,0
gb-nir,4,7,255,255,255
gb-nir,4,8,255,255,255
gb-nir,4,9,255,255,255
gb-nir,4,10,255,255,255
gb-nir,5,1,204,0,0
gb-nir,5,2,214,171,6
gb-nir,5,3,195,1,1
gb-nir,5,4,204,0,0
gb-nir,5,5,255,255,255
gb-nir,5,6,255,255,255
gb-nir,5,7,204,0,0
gb-nir,5,8,204,0,0
gb-nir,5,9,204,0,0
gb-nir,5,10,204,0,0
gb-nir,6,1,255,255,255
gb-nir,6,2,169,149,72
gb-nir,6,3,255,255,255
gb-nir,6,4,255,255,255
gb-nir,6,5,255,255,255
gb-nir,6,6,255,255,255
gb-nir,6,7,255,255,255
gb-nir,6,8,255,255,255
gb-nir,6,9,255,255,255
gb-nir,6,10,255,255,255
gb-nir,7,1,255,255,255
gb-nir,7,2,255,255,255
gb-nir,7,3,255,255,255
gb-nir,7,4,255,255,255
gb-nir,7,5,204,0,0
gb-nir,7,6,204,0,0
gb-nir,7,7,255,255,255
gb-nir,7,8,255,255,255
gb-nir,7,9,255,255,255
gb-nir,7,10,255,255,255
gb-nir,8,1,255,255,255
gb-nir,8,2,255,255,255
gb-nir,8,3,255,255,255
gb-nir,8,4,255,255,255
gb-nir,8,5,204,0,0
gb-nir,8,6,204,0,0
gb-nir,8,7,255,255,255
gb-nir,8,8,255,255,255
gb-nir,8,9,255,255,255
gb-nir,8,10,255,255,255
gb-nir,9,1,255,255,255
gb-nir,9,2,255,255,255
gb-nir,9,3,255,255,255
gb-nir,9,4,255,255,255
gb-nir,9,5,204,0,0
gb-nir,9,6,204,0,0
gb-nir,9,7,255,255,255
gb-nir,9,8,255,255,255
gb-nir,9,9,255,255,255
gb-nir,9,10,255,255,255
gb-nir,10,1,255,255,255
gb-nir,10,2,255,255,255
gb-nir,10,3,255,255,255
gb-nir,10,4,255,255,255
gb-nir,10,5,204,0,0
gb-nir,10,6,204,0,0
gb-nir,10,7,255,255,255
gb-nir,10,8,255,255,255
gb-nir,10,9,255,255,255
gb-nir,10,10,255,255,255
ly,1,1,231,0,19
ly,1,2,231,0,19
ly,1,3,0,0,0
ly,1,4,0,0,0
ly,1,5,0,0,0
ly,1,6,0,0,0
ly,1,7,0,0,0
ly,1,8,35,158,70
